Bus Stop ID,Location,Direction,Route Number,Route Name,Benches,Bench Responsibility,Trash Cans,Trash Can Responsibility,Shelters,Shelter Responsibility,Longitude,Latitude,ObjectId,x,y
557,Gratiot & E Outer Dr,Westbound,6,Gratiot,false, ,true,City of Detroit,false, ,-82.996959,42.4060331,1831,-9239179.2132702,5221996.62220089
558,Gratiot & Harper,Westbound,6,Gratiot,false, ,true,Third-Party,true,DDOT,-83.0057981,42.3925921,1832,-9240163.17738128,5219970.46190206
559,Gratiot & Van Dyke,Southbound,6,Gratiot,false, ,true,City of Detroit,true,DDOT,-83.015003,42.3786831,1833,-9241187.86216208,5217874.20983993
560,Gratiot & Mack,Westbound,6,Gratiot,false, ,false, ,false, ,-83.0284099,42.358329,1834,-9242680.31144319,5214807.4411247
561,Gratiot & Chene,Westbound,6,Gratiot,false, ,false, ,false, ,-83.0322981,42.35243,1835,-9243113.1438873,5213918.81970308
568,Beaubien & E Grand Bl,Southbound,42,Mid-City Loop,false, ,false, ,false, ,-83.067241,42.371946,1836,-9247002.96972213,5216859.01550299
584,Oakland & Owen,Southbound,42,Mid-City Loop,false, ,false, ,false, ,-83.072673,42.385831,1837,-9247607.65719613,5218951.42554571
586,Beaubien & I-94 Service Dr,Southbound,42,Mid-City Loop,false, ,false, ,false, ,-83.0630659,42.365679,1838,-9246538.19971613,5215914.75694782
590,Michigan & Greenfield,Eastbound,2,Michigan,false, ,true,Third-Party,true,Third-Party,-83.194049,42.3162249,1839,-9261119.17171065,5208466.73336484
591,Michigan & Livernois,Eastbound,2,Michigan,false, ,false, ,false, ,-83.1197268,42.3309771,1840,-9252845.66225201,5210687.87212948
592,Michigan & W Grand Bl,Eastbound,2,Michigan,false, ,false, ,false, ,-83.0946431,42.3312709,1841,-9250053.3575408,5210732.11289422
593,Michigan & Trumbull,Eastbound,2,Michigan,false, ,false, ,false, ,-83.065972,42.331296,1842,-9246861.70528832,5210735.89249262
597,Michigan & Trumbull,Westbound,2,Michigan,false, ,false, ,false, ,-83.067447,42.3315341,1843,-9247025.90153724,5210771.74604887
598,Michigan & W Grand Bl,Westbound,2,Michigan,false, ,false, ,false, ,-83.0959191,42.3314759,1844,-9250195.40121105,5210762.98216832
599,Michigan & Livernois,Westbound,2,Michigan,false, ,false, ,false, ,-83.1210462,42.331274,1845,-9252992.53718817,5210732.57969712
600,Michigan & Greenfield,Westbound,"2, 10","Michigan, Greenfield",false, ,true,Third-Party,true,Third-Party,-83.1958431,42.3165261,1846,-9261318.89000908,5208512.07779977
603,Plymouth & W Outer Dr,Eastbound,38,Plymouth,false, ,true,City of Detroit,false, ,-83.2604319,42.371508,1847,-9268508.88233603,5216793.01830537
